PIB Municipal - preços de mercado (preços de 2010)
Sigla,Código,Meso-região,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
MS,5002,Centro Norte de Mato Grosso do Sul,12202050.1357133,13385443.5177795,13791203.8725806,13651406.397597,14606804.6469878,15404907.2363413,16750997.4291986,17596606.3561584,18750560.691,19953599.0777441,20544907.5510492,20637513.3324856,21894230.6494225,21021417.9934388,20715566.4500668,20961335.0329894,22157427.0868964,21572438.2442542,21234127.5317252,22061386.7651023,
MS,5003,Leste de Mato Grosso do Sul,7454228.68550172,8639120.47828957,9050122.91694382,8056142.69172469,8213950.92549035,8004456.12436331,8786022.11757545,9299205.0883087,11187621.903,11934655.91935,12272503.9634696,13615107.7733858,14506827.5613931,14290424.8534295,14716915.9383242,15161533.6108493,16237542.9833436,14934905.3191675,15925580.0812633,16300456.0846425,
MS,5004,Sudoeste de Mato Grosso do Sul,9517115.44209148,12039022.4625562,10971513.5020029,10101929.3445712,10448459.6999325,11909495.6346654,13320422.4643029,12872969.6682316,13991157.697,15580514.2822635,16661698.8791836,17168192.7846767,17967462.9678537,18194644.4191813,19277470.6999364,19112412.4581494,20417923.4299564,19968691.8547355,23874124.7759957,25382531.2010659,
MT,5101,Norte Mato-grossense,11598029.4962722,14809557.5705073,17854626.4993837,16029109.0526192,12203555.2216188,15561464.4004445,20112529.3955592,19472955.4962707,17775991.092,22449042.55945,24723668.6473059,25721526.1555617,26948458.7182302,26331580.2045044,29619814.0571525,28958319.4433894,30767728.45145,30822737.2881565,39891207.6356844,49235078.2628966,
MT,5102,Nordeste Mato-grossense,2492324.84076167,3023341.01629902,3570274.27446967,3308161.09622131,2764784.13761072,3185572.78077015,3950969.61423681,3920585.38904955,3741465.81,4599781.59237405,4973505.53954813,5343866.08279355,5795582.9287851,5907294.11247934,6378253.27799325,6426717.16161642,6868178.30126992,6772309.03185324,9019982.88877781,11401539.1731423,
MT,5103,Sudoeste Mato-grossense,3546915.1187719,3941479.05356045,4106118.48743782,3954925.91065633,3833885.03079789,4258297.50194335,4734842.45268592,4836669.47860446,5386596.142,5540899.23350868,5519492.63250584,5838022.02943936,5693936.58324773,5896052.90900079,6067346.15105762,6032955.73204538,6155295.70905097,6211199.00085219,6785065.98281573,7394994.45233313,
MT,5104,Centro-Sul Mato-grossense,11836248.9285215,13521601.3619279,15430541.6008776,15667727.4373113,14950088.0670748,15823744.6896549,17120576.4409195,17730845.220877,18674357.933,18900751.6674897,20297681.4229995,20692062.9470521,22436348.7772276,21871286.2804011,21899384.6976841,22272247.4687807,22039180.1861232,21710423.7474123,22052644.5421254,22481641.3735888,
MT,5105,Sudeste Mato-grossense,6983842.91451313,9157735.80942015,10634620.2364932,10316358.2662004,7605921.50372894,9301269.70335081,11329604.380531,11170905.9778719,11022544.396,12352633.7971324,12621132.8068589,13379104.4516469,13804385.7173204,13660419.1834238,14622892.4602581,13929076.4358607,14656696.997033,14337306.3840237,16526780.6974319,20065881.9601093,
PA,1501,Baixo Amazonas,4662690.54353862,4890870.56813629,5517125.01627902,5333590.31929984,5239320.36277026,5300804.07972648,5857224.95921647,5400038.0271642,6811746.892,6607697.31159451,6699084.29706371,7566106.69735207,7311284.12672434,7021477.5225732,7247379.94793237,7276235.29294602,6848125.46616358,7204462.79639315,7452021.73726926,7472051.90804395,
PA,1502,Marajó,1525128.3535183,1437028.77494853,1565638.86118315,1575139.7282471,1578542.4554068,1717918.07180238,1682439.7737641,1774335.4588475,1938687.215,2104995.92202403,2303153.2504508,2496004.09297708,2441966.75816478,2643118.29550645,2793104.90315937,2817452.07186282,2886973.46066025,2615606.3671978,2703697.99623283,2624096.07711868,
